East;North;Canton
2486500.0;1110500.0;Genève
2486500.0;1111500.0;Genève
2486500.0;1117500.0;Genève
2487500.0;1111500.0;Genève
2487500.0;1112500.0;Genève
2487500.0;1113500.0;Genève
2487500.0;1114500.0;Genève
2487500.0;1117500.0;Genève
2487500.0;1118500.0;Genève
2488500.0;1111500.0;Genève
2488500.0;1112500.0;Genève
2488500.0;1113500.0;Genève
2488500.0;1114500.0;Genève
2488500.0;1116500.0;Genève
2488500.0;1117500.0;Genève
2488500.0;1118500.0;Genève
2488500.0;1119500.0;Genève
2489500.0;1111500.0;Genève
2489500.0;1112500.0;Genève
2489500.0;1113500.0;Genève
2489500.0;1114500.0;Genève
2489500.0;1115500.0;Genève
2489500.0;1116500.0;Genève
2489500.0;1117500.0;Genève
2489500.0;1118500.0;Genève
2489500.0;1119500.0;Genève
2490500.0;1111500.0;Genève
2490500.0;1112500.0;Genève
2490500.0;1113500.0;Genève
2490500.0;1114500.0;Genève
2490500.0;1115500.0;Genève
2490500.0;1116500.0;Genève
2490500.0;1117500.0;Genève
2490500.0;1118500.0;Genève
2490500.0;1119500.0;Genève
2490500.0;1120500.0;Genève
2491500.0;1110500.0;Genève
2491500.0;1111500.0;Genève
2491500.0;1112500.0;Genève
2491500.0;1113500.0;Genève
2491500.0;1114500.0;Genève
2491500.0;1115500.0;Genève
2491500.0;1116500.0;Genève
2491500.0;1117500.0;Genève
2491500.0;1118500.0;Genève
2491500.0;1119500.0;Genève
2491500.0;1120500.0;Genève
2491500.0;1121500.0;Genève
2492500.0;1111500.0;Genève
2492500.0;1112500.0;Genève
2492500.0;1113500.0;Genève
2492500.0;1114500.0;Genève
2492500.0;1115500.0;Genève
2492500.0;1116500.0;Genève
2492500.0;1117500.0;Genève
2492500.0;1118500.0;Genève
2492500.0;1119500.0;Genève
2492500.0;1120500.0;Genève
2493500.0;1112500.0;Genève
2493500.0;1113500.0;Genève
2493500.0;1114500.0;Genève
2493500.0;1115500.0;Genève
2493500.0;1116500.0;Genève
2493500.0;1117500.0;Genève
2493500.0;1118500.0;Genève
2493500.0;1119500.0;Genève
2493500.0;1120500.0;Genève
2493500.0;1121500.0;Genève
2494500.0;1112500.0;Genève
2494500.0;1113500.0;Genève
2494500.0;1114500.0;Genève
2494500.0;1115500.0;Genève
2494500.0;1116500.0;Genève
2494500.0;1117500.0;Genève
2494500.0;1118500.0;Genève
2494500.0;1119500.0;Genève
2494500.0;1120500.0;Genève
2494500.0;1121500.0;Genève
2494500.0;1141500.0;Vaud
2495500.0;1112500.0;Genève
2495500.0;1113500.0;Genève
2495500.0;1114500.0;Genève
2495500.0;1115500.0;Genève
2495500.0;1116500.0;Genève
2495500.0;1117500.0;Genève
2495500.0;1118500.0;Genève
2495500.0;1119500.0;Genève
2495500.0;1120500.0;Genève
2495500.0;1121500.0;Genève
2495500.0;1122500.0;Genève
2495500.0;1141500.0;Vaud
2495500.0;1142500.0;Vaud
2495500.0;1143500.0;Vaud
2495500.0;1145500.0;Vaud
2495500.0;1146500.0;Vaud
2496500.0;1111500.0;Genève
2496500.0;1112500.0;Genève
2496500.0;1113500.0;Genève
2496500.0;1114500.0;Genève
